order	isomer_name	energy_in_Hatree	energy_difference_in_kcal/mol
116  Geom_Geom_23  -776.542064286  10.1283324134
117  Geom_Geom_19  -776.542064284  10.1283336684
118  Geom_Geom_81  -776.542064282  10.1283349235
119  Geom_Geom_58  -776.542064271  10.1283418261
120  Geom_Geom_200  -776.542064264  10.1283462186
121  Geom_Geom_194  -776.542064263  10.1283468461
122  Geom_Geom_56  -776.542064256  10.1283512387
123  Geom_Geom_5  -776.542064229  10.1283681815
124  Geom_Geom_163  -776.542064186  10.1283951644
125  Geom_Geom_76  -776.542063951  10.1285426291
126  Geom_Geom_113  -776.542063744  10.1286725236
127  Geom_Geom_110  -776.542063397  10.1288902693
128  Geom_Geom_1  -776.542057328  10.1326986238
129  Geom_Geom_114  -776.542033378  10.1477274739
130  Geom_Geom_168  -776.542023746  10.1537716445
