RE_DFT (kcal/mol)	RE_ANI (kcal/mol)
30.19	41.01
24.10	31.56
35.01	44.94
33.45	42.78
47.15	59.67
37.86	50.31
18.65	26.82
37.53	47.67
37.20	47.62
57.72	70.55
34.33	45.51
29.19	40.14
27.50	44.15
32.84	54.52
41.28	57.12
30.64	44.30
27.98	42.45
46.53	60.33
35.28	50.28
34.86	60.21
44.89	64.67
45.13	68.47
36.05	58.21
30.16	50.54
36.60	58.10
19.45	40.47
36.62	62.94
34.29	55.50
46.65	74.30
37.17	58.77
39.03	69.58
37.58	65.67
44.91	69.76
38.97	77.06
46.74	77.71
60.36	96.09
45.86	81.26
54.18	96.19
39.15	72.01
49.12	86.40
37.21	69.65
55.20	90.94
55.71	101.64
41.85	82.84
48.77	76.05
49.18	85.50
42.47	66.50
27.60	51.83
29.34	44.88
35.65	46.34
35.06	55.07
56.57	75.62
46.35	60.86
54.53	72.73
42.77	58.20
40.28	53.65
30.26	42.70
30.55	53.23
34.96	55.20
42.47	63.49
60.51	90.61
50.21	80.65
45.44	73.73
49.85	75.97
59.00	80.68
50.36	72.50
38.00	54.09
43.77	60.66
48.10	71.48
42.24	65.26
42.32	59.86
32.16	51.37
43.78	65.74
32.82	57.54
29.88	55.38
38.89	67.10
41.10	70.37
43.42	72.96
50.47	81.76
45.77	75.14
35.55	64.59
38.23	69.12
37.00	66.79
35.76	58.50
35.39	60.40
43.19	64.70
49.85	69.07
27.98	48.42
37.53	64.26
31.55	56.37
31.41	52.33
22.59	42.27
40.01	55.94
30.64	46.93
43.88	64.90
28.45	40.50
36.94	55.34
35.70	52.19
35.79	53.86
33.79	51.89
37.18	56.72
33.84	42.73
39.82	50.81
24.82	37.19
