order	isomer_name	energy_in_Hatree	energy_difference_in_kcal/mol
117  Geom_Geom_196  -835.266181061  23.101223923
118  Geom_Geom_67  -835.266066495  23.1731151649
119  Geom_Geom_117  -835.266066492  23.1731170474
120  Geom_Geom_172  -835.266066455  23.1731402653
121  Geom_Geom_76  -835.266066448  23.1731446579
122  Geom_Geom_153  -835.266066439  23.1731503054
123  Geom_Geom_2  -835.26564096  23.4401423774
124  Geom_Geom_72  -835.265640896  23.440182538
125  Geom_Geom_171  -835.265624311  23.4505897814
126  Geom_Geom_127  -835.265624308  23.4505916639
127  Geom_Geom_4  -835.26562427  23.4506155093
128  Geom_Geom_34  -835.265553315  23.4951404388
129  Geom_Geom_13  -835.265553308  23.4951448313
130  Geom_Geom_62  -835.265553307  23.4951454589
131  Geom_Geom_112  -835.265553304  23.4951473414
132  Geom_Geom_173  -835.265504591  23.5257152068
133  Geom_Geom_25  -835.265504577  23.5257239919
134  Geom_Geom_1  -835.265504567  23.525730267
135  Geom_Geom_107  -835.265504428  23.5258174908
136  Geom_Geom_158  -835.265420852  23.5782622164
137  Geom_Geom_5  -835.263870829  24.5509162192
138  Geom_Geom_151  -835.263870622  24.5510461136
139  Geom_Geom_56  -835.263870583  24.5510705865
140  Geom_Geom_191  -835.263848389  24.5649975301
141  Geom_Geom_7  -835.263606831  24.7165774458
142  Geom_Geom_162  -835.263486265  24.7922337441
