RE_DFT (kcal/mol)	RE_ANI (kcal/mol)
50.83	43.65
54.20	48.23
57.50	51.09
51.37	45.77
68.09	63.43
63.44	54.60
68.69	63.53
86.91	78.31
58.08	51.28
87.86	81.40
65.20	57.11
74.69	68.42
62.20	54.58
58.97	53.83
51.17	48.42
52.77	50.72
49.80	44.85
39.80	31.48
32.64	21.68
44.70	31.17
51.94	47.89
49.10	49.26
54.53	51.92
56.87	53.26
50.06	47.87
50.32	46.05
54.54	53.05
48.09	45.95
45.98	39.37
47.35	41.95
53.75	46.07
61.85	56.60
45.78	41.16
52.59	39.25
43.78	36.90
54.28	45.76
48.62	44.82
53.97	48.61
53.05	49.34
46.41	38.02
43.21	40.19
47.62	45.29
39.21	32.64
64.54	57.92
37.90	33.59
47.23	41.52
39.11	32.72
40.00	34.09
35.78	27.38
28.21	24.10
32.17	31.49
52.99	50.84
36.44	33.59
45.87	43.03
44.54	36.15
37.44	30.35
48.07	37.66
39.01	33.09
40.55	32.54
38.28	32.37
42.23	37.84
56.84	51.99
50.41	48.01
47.34	42.93
53.70	51.84
51.09	47.23
38.69	34.81
53.05	53.38
48.22	43.24
40.77	38.43
28.18	26.93
53.39	49.02
71.30	65.61
49.07	45.08
39.93	34.81
50.40	35.19
57.29	50.53
40.27	35.61
57.87	52.22
52.34	48.77
44.16	41.05
36.75	28.73
44.79	39.87
45.19	40.03
30.07	25.73
51.45	45.65
38.08	33.59
32.10	27.03
43.39	35.02
44.19	33.60
51.05	43.38
62.16	51.55
45.44	37.01
57.04	50.96
57.32	50.05
62.93	57.21
63.75	59.10
40.43	36.34
57.52	53.20
42.42	37.06
30.44	25.09
27.26	22.96
60.92	56.24
50.19	44.80
