RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
31.81	31.97	13.69
33.03	32.42	9.37
16.08	15.32	3.75
22.20	18.93	6.43
13.83	11.68	2.99
30.71	29.55	10.15
29.65	29.87	6.85
25.92	27.49	9.97
29.81	28.28	7.86
27.22	26.51	9.54
32.89	31.15	16.15
24.94	26.32	8.38
13.10	14.19	1.53
26.75	28.99	3.47
25.32	25.71	8.31
26.18	22.54	11.97
24.36	23.41	11.57
33.72	35.04	10.09
38.51	42.19	14.15
41.52	42.48	13.08
29.95	30.64	11.90
38.93	42.51	13.19
31.90	34.24	13.00
32.37	33.57	19.26
24.90	25.63	6.92
27.74	29.12	9.06
48.74	49.25	17.65
41.27	42.21	17.29
25.15	24.19	9.50
30.80	30.81	12.73
39.94	40.59	13.30
31.64	34.01	11.19
22.23	21.69	6.69
19.18	19.10	8.61
16.39	16.22	3.67
17.09	17.67	11.32
27.98	29.93	14.42
26.68	27.66	16.07
14.40	15.96	5.71
21.39	19.82	13.62
22.21	23.41	8.36
21.58	20.57	11.22
46.16	48.46	15.48
36.40	37.05	14.36
32.07	30.03	18.60
21.47	20.90	12.03
26.81	28.11	8.29
6.54	7.02	3.51
14.04	13.22	7.22
22.34	21.67	14.06
12.91	11.52	7.76
19.32	18.92	6.98
21.27	19.16	15.09
29.81	27.64	18.12
22.37	21.26	9.34
33.34	32.42	12.12
13.28	11.20	8.87
14.83	13.50	7.89
11.61	10.81	8.98
21.65	20.47	8.45
31.30	31.12	11.80
15.03	16.67	6.30
14.73	15.02	6.28
20.00	20.32	8.48
18.59	18.53	3.68
22.90	23.33	5.19
21.09	19.81	8.34
21.69	19.43	10.44
23.43	22.20	9.03
23.32	20.65	7.56
23.21	21.49	11.70
23.16	22.77	7.85
17.85	16.36	7.89
16.12	16.57	6.75
17.81	18.34	15.91
13.12	12.93	6.62
11.32	9.63	9.04
8.34	6.69	5.52
11.55	10.12	7.63
6.86	7.55	7.69
4.70	5.04	0.84
6.23	6.23	0.00
15.71	15.48	8.99
28.76	29.92	14.25
29.15	29.56	8.81
20.33	22.13	7.53
22.44	21.53	12.78
20.93	21.87	7.96
33.76	34.71	11.15
33.16	33.72	16.28
35.31	34.73	15.10
21.88	20.68	9.44
11.20	9.19	4.97
20.21	18.33	9.29
21.06	20.68	12.66
12.51	13.03	2.65
30.40	28.03	11.41
14.56	12.79	5.87
18.41	16.30	12.06
17.24	16.35	7.79
19.16	17.23	7.12
28.14	25.33	12.61
25.77	23.73	10.66
16.66	14.78	5.23
30.00	30.29	9.65
28.43	28.01	11.72
16.47	15.97	8.22
15.74	15.62	5.44
34.40	35.10	15.59
26.12	27.09	11.19
18.57	16.37	6.58
19.16	16.69	6.26
15.28	14.43	4.41
19.43	17.75	8.74
19.70	17.03	8.90
17.11	16.86	8.97
20.55	20.07	10.26
11.54	9.11	5.47
7.30	5.77	4.50
25.85	24.17	13.21
28.49	26.11	10.59
22.06	18.57	8.76
16.14	12.34	3.51
25.21	22.47	15.39
15.21	11.44	4.98
16.41	12.93	8.38
7.48	4.58	4.17
20.56	17.57	8.32
14.22	11.27	4.96
15.60	13.83	9.35
22.37	17.26	9.29
25.13	20.20	11.09
25.62	22.41	10.89
25.30	20.25	12.98
29.34	23.63	10.73
31.00	24.41	11.99
20.67	12.81	8.13
19.97	14.19	6.62
24.97	20.13	13.64
13.43	11.18	5.45
20.15	17.46	10.92
22.34	21.13	7.82
24.29	21.50	10.54
13.55	11.11	5.41
19.35	16.47	10.26
19.15	15.65	10.16
15.94	11.69	15.13
11.99	5.96	8.61
21.54	15.18	11.56
15.64	10.13	9.95
25.37	21.82	14.44
10.45	6.86	3.42
12.84	10.97	7.29
11.46	7.88	5.68
21.40	20.51	14.07
24.30	23.61	15.28
27.45	26.85	10.53
9.36	8.55	2.38
33.12	33.14	11.16
18.87	19.72	6.44
15.01	12.41	4.01
28.44	28.85	3.30
21.06	19.09	7.80
