RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
26.74	28.68	10.22
19.14	18.77	6.54
17.81	18.59	9.38
12.29	12.01	1.28
15.77	13.77	6.78
10.39	10.01	3.79
21.19	22.35	6.66
10.13	11.23	2.72
11.80	11.57	2.74
10.50	9.68	4.89
14.35	13.52	4.43
14.47	13.82	3.87
16.47	15.32	7.42
13.86	12.82	1.80
19.94	16.69	9.59
33.63	34.57	12.49
18.71	19.60	4.40
8.55	7.13	0.66
22.35	23.65	9.44
15.50	14.41	4.07
23.93	24.36	7.80
16.58	15.44	0.08
12.27	12.38	4.07
15.15	14.90	2.93
13.02	12.15	3.93
21.88	24.04	6.02
9.23	11.09	2.70
9.38	9.34	6.89
21.87	21.53	11.15
22.21	22.74	6.62
22.34	20.60	8.28
16.24	15.67	5.34
26.06	24.48	8.66
31.49	29.49	11.26
26.88	23.98	9.50
20.84	16.95	4.85
15.02	12.55	3.82
11.42	7.32	2.41
13.72	14.00	4.73
22.53	22.03	6.87
28.79	30.66	11.02
24.69	21.24	9.78
22.62	18.57	9.28
20.14	16.02	10.25
14.13	11.71	3.10
16.42	15.52	4.80
26.23	25.93	6.71
8.63	6.80	2.16
10.78	9.91	4.84
17.71	17.45	13.95
20.82	22.14	11.87
13.05	13.22	6.21
6.71	7.37	6.57
15.88	15.39	10.98
9.23	7.92	4.92
5.18	5.10	1.24
17.56	18.11	7.44
5.84	6.61	3.71
14.23	14.26	3.68
7.95	6.83	6.79
9.76	9.51	8.69
7.80	6.35	7.16
12.16	10.96	4.99
17.79	17.46	9.17
18.97	19.38	6.22
18.76	17.11	8.21
15.59	13.97	6.26
10.70	10.56	3.54
14.71	13.37	4.29
11.95	10.50	4.27
18.64	16.12	5.98
20.69	18.75	7.21
5.80	2.63	0.73
10.33	10.33	0.76
23.23	25.09	9.28
0.00	0.00	1.00
4.60	5.77	3.37
14.22	16.29	5.07
15.59	15.47	6.73
11.70	10.13	3.13
9.45	6.43	3.85
20.25	18.58	5.09
16.24	13.89	9.81
18.19	17.07	5.10
17.21	17.73	7.39
19.37	17.85	5.65
18.43	17.18	3.37
31.16	29.10	11.89
13.78	13.61	2.48
23.12	19.77	12.71
13.23	12.01	9.91
13.49	12.99	4.50
14.37	13.60	3.81
15.59	15.26	5.68
8.67	5.86	5.07
22.15	18.69	10.94
13.14	12.39	4.51
29.23	31.27	11.89
19.10	20.08	8.56
17.78	17.36	7.74
18.21	18.18	7.35
13.50	11.71	7.07
18.41	18.53	3.38
25.75	25.24	7.99
27.75	24.11	14.36
11.47	10.64	2.64
26.46	26.37	7.44
19.86	19.21	6.71
24.20	23.96	9.87
13.82	12.74	4.63
21.60	22.95	6.96
14.30	17.61	4.47
25.83	30.24	6.65
36.60	37.26	15.65
17.78	19.82	5.39
27.97	27.05	12.22
16.86	16.98	10.23
24.42	27.38	6.29
30.11	30.62	10.00
15.05	15.04	4.69
25.54	24.08	10.00
10.88	9.55	3.18
