RE_DFT (kcal/mol)	RE_ANI (kcal/mol)
17.32	9.50
14.37	6.22
22.79	16.24
24.68	16.92
21.81	14.70
26.54	19.40
20.88	13.51
30.93	22.41
20.55	12.79
23.75	14.40
21.40	12.64
16.49	8.79
21.30	14.12
21.23	12.18
38.86	27.90
28.38	18.78
38.94	25.60
43.96	32.90
35.15	23.74
28.03	14.98
28.91	19.85
34.62	23.65
33.39	23.36
23.08	12.31
30.26	19.77
28.23	18.83
21.14	11.60
29.10	21.65
27.18	17.25
31.50	24.80
28.17	21.07
25.30	16.39
35.72	27.87
35.51	27.42
22.31	16.75
25.56	17.89
25.52	18.00
22.22	13.85
8.36	0.93
19.30	12.01
16.87	9.89
16.67	8.19
31.01	23.03
23.76	13.94
28.94	19.35
24.95	17.11
32.85	27.98
24.93	16.96
32.39	22.28
22.11	14.83
51.09	41.42
35.98	27.21
32.80	23.19
32.42	24.14
35.80	25.60
33.45	24.71
36.96	29.50
17.46	9.26
38.83	32.37
33.52	25.61
29.75	22.79
27.08	21.15
27.68	22.38
27.05	17.90
27.61	19.55
36.28	28.37
23.82	15.71
35.39	25.99
20.99	9.57
28.51	18.55
37.21	26.53
38.09	28.80
28.63	18.53
22.46	11.27
30.57	19.78
37.03	27.29
34.06	23.64
29.03	17.53
34.22	23.60
42.68	29.87
36.27	26.29
29.87	19.95
29.89	21.56
35.17	28.14
29.15	21.65
29.24	19.37
32.98	23.18
25.18	16.31
34.43	26.03
36.16	27.12
43.08	33.03
38.90	27.97
32.74	20.98
34.36	26.00
22.27	13.21
40.44	31.50
34.67	24.78
23.40	12.08
35.57	26.05
23.37	13.33
32.61	25.02
48.40	38.86
37.50	30.21
19.21	11.41
