RE_DFT (kcal/mol)	RE_ANI (kcal/mol)
28.26	23.63
30.28	24.41
19.65	12.81
19.46	14.19
23.36	20.13
12.20	11.18
19.16	17.46
22.70	21.13
23.85	21.50
12.92	11.11
18.59	16.47
18.72	15.65
14.30	11.69
10.84	5.96
20.18	15.18
15.42	10.13
26.39	21.82
10.79	6.86
12.90	10.97
9.97	7.88
21.84	20.51
24.23	23.61
27.01	26.85
8.68	8.55
33.44	33.14
18.70	19.72
14.43	12.41
29.41	28.85
21.30	19.09
10.99	10.53
21.55	19.97
11.36	9.44
12.74	12.32
20.62	17.40
21.16	19.40
18.35	15.99
26.19	25.20
7.24	6.99
16.45	16.50
35.99	31.52
29.88	28.70
22.71	20.28
28.50	25.76
20.94	16.69
18.75	15.18
8.01	5.69
15.89	13.68
16.68	14.77
18.72	17.03
31.58	30.05
30.45	28.06
4.96	2.16
29.37	25.46
13.92	9.84
15.02	9.56
31.29	28.14
8.76	6.15
22.62	19.62
17.89	14.49
17.31	12.83
13.85	10.50
24.41	21.64
21.01	18.39
37.08	33.78
18.33	14.18
33.10	28.81
21.03	17.58
18.80	14.21
26.32	23.33
18.15	14.17
19.11	16.67
25.81	22.26
14.52	9.99
10.96	7.22
22.32	17.40
22.01	16.89
37.79	30.39
18.54	13.63
12.80	8.98
19.63	15.47
8.67	4.84
19.27	16.02
14.13	10.05
31.20	28.92
24.08	21.38
12.98	9.99
14.69	11.93
21.24	17.34
31.09	27.50
19.05	16.97
24.52	21.89
18.95	15.78
23.42	19.64
39.62	36.08
31.94	28.56
24.52	21.21
16.71	14.32
20.38	17.79
19.39	17.54
25.56	23.74
19.75	18.98
14.64	13.59
35.77	31.74
22.19	20.34
