RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
23.24	39.96	9.57
52.37	71.49	23.28
44.10	60.11	15.08
43.26	62.09	12.34
35.16	51.91	9.59
39.92	56.20	14.31
46.53	66.58	16.20
49.76	62.64	22.04
42.47	53.97	16.35
55.86	69.44	18.53
34.45	46.34	13.44
60.21	77.67	18.68
31.73	43.36	6.14
33.13	42.69	9.63
36.83	46.14	15.03
43.25	54.68	18.65
34.49	48.90	12.23
38.53	49.99	13.09
53.55	64.50	25.87
47.73	56.77	20.31
55.21	66.45	24.52
48.00	53.71	25.15
33.52	38.23	13.86
35.12	42.05	13.81
25.55	26.97	8.26
36.91	42.19	13.56
36.96	32.75	17.03
35.50	37.37	16.91
28.71	29.19	14.72
32.18	38.99	15.57
48.78	54.21	20.46
21.33	24.79	7.15
14.71	18.46	1.46
20.86	26.45	8.98
35.67	39.92	12.92
31.82	42.70	10.94
19.99	25.16	2.39
21.28	24.11	8.36
25.61	31.40	9.47
25.03	29.60	6.35
28.16	33.55	8.63
34.12	39.29	10.48
27.46	28.66	5.96
37.28	36.84	20.45
41.91	44.43	18.23
40.93	43.44	16.76
27.17	30.28	9.70
38.21	44.64	11.25
49.05	55.41	17.58
17.76	23.51	4.98
23.77	30.15	8.22
28.50	38.02	9.63
36.32	41.42	15.60
25.99	32.52	8.04
21.88	28.95	9.69
31.63	40.46	11.43
34.07	47.65	13.68
38.55	48.28	11.07
38.88	48.93	10.10
30.15	42.96	9.23
45.58	55.43	17.28
33.69	42.48	13.92
36.95	47.41	10.35
27.98	38.46	10.52
32.07	48.55	7.88
34.65	47.98	7.84
38.57	48.58	13.77
40.09	51.48	18.99
25.83	39.11	9.30
37.20	53.74	18.67
52.97	73.36	19.20
44.68	64.92	18.71
0.00	0.00	0.00
13.39	15.94	6.79
13.37	16.37	7.09
16.10	20.48	4.91
19.60	24.86	1.76
25.51	29.49	8.72
33.00	42.42	11.80
19.92	23.90	8.59
25.88	28.10	10.19
31.23	33.88	12.27
34.53	33.41	20.38
25.55	27.82	15.90
28.79	32.83	13.42
35.16	44.52	12.83
17.61	21.49	5.49
21.47	30.00	6.75
12.96	16.53	4.46
10.01	11.03	1.62
9.30	10.26	4.09
26.51	32.32	9.87
30.59	36.92	9.95
38.92	47.60	15.17
46.26	52.68	22.17
43.54	52.97	20.79
36.49	44.91	16.68
33.86	42.22	14.14
32.94	40.99	12.86
24.80	33.03	14.32
31.68	37.66	13.45
38.36	46.74	16.84
40.45	53.63	15.57
25.63	37.47	8.94
27.66	37.85	11.48
19.16	26.85	11.25
46.01	56.71	22.02
41.99	51.41	17.13
39.54	53.70	11.26
41.71	54.79	15.78
52.21	73.88	22.61
34.81	51.79	18.65
52.97	70.62	26.05
55.97	78.97	23.76
51.88	66.68	25.26
26.74	38.14	14.02
44.87	64.46	16.30
57.30	72.17	24.90
39.72	46.64	23.98
37.84	46.47	19.98
35.25	46.49	13.84
40.80	47.56	21.91
39.99	47.94	15.62
52.83	67.12	21.61
33.26	46.76	11.34
40.95	50.81	12.61
17.02	26.33	1.04
42.68	54.81	19.26
34.68	48.14	11.79
30.18	41.90	10.64
35.33	44.54	9.52
31.84	42.44	18.82
33.64	45.44	17.24
24.74	33.45	10.32
29.53	41.01	17.50
23.55	31.56	8.38
34.40	44.94	12.44
33.44	42.78	11.56
46.74	59.67	16.77
36.74	50.31	10.50
18.27	26.82	10.32
36.17	47.67	15.62
36.41	47.62	15.09
56.13	70.55	21.50
33.64	45.51	9.40
28.74	40.14	9.67
27.63	44.15	3.12
33.22	54.52	9.22
41.67	57.12	12.14
30.74	44.30	13.50
27.44	42.45	9.58
45.17	60.33	15.07
35.07	50.28	12.31
34.27	60.21	8.66
44.50	64.67	20.07
45.15	68.47	19.07
36.19	58.21	13.41
30.46	50.54	15.42
37.17	58.10	15.26
19.39	40.47	5.06
36.29	62.94	14.17
35.04	55.50	11.69
47.34	74.30	14.67
37.90	58.77	12.71
39.42	69.58	10.33
38.85	65.67	17.28
44.16	69.76	14.03
38.81	77.06	10.23
45.60	77.71	14.75
58.79	96.09	23.29
44.94	81.27	18.00
53.68	96.19	17.24
40.13	72.01	13.12
49.43	86.40	17.81
38.42	69.65	15.47
55.28	90.94	19.73
55.89	101.64	18.58
43.42	82.84	18.38
50.37	76.05	12.58
50.13	85.50	14.09
43.36	66.50	14.35
29.25	51.83	14.40
31.15	44.88	13.95
36.54	46.34	15.69
36.11	55.07	14.76
57.52	75.62	23.77
46.98	60.86	18.62
54.62	72.73	19.61
43.67	58.20	13.83
41.34	53.65	14.39
31.07	42.70	10.27
31.10	53.23	7.12
35.00	55.20	10.70
43.37	63.49	14.14
59.38	90.61	18.22
49.53	80.65	13.96
45.16	73.73	19.41
49.90	75.97	19.51
56.52	80.68	25.52
49.46	72.50	21.28
